Item Code,category
2511,starch
2511,starch
2511,starch
2807,starch
2807,starch
2807,starch
2513,starch
2513,starch
2513,starch
2514,starch
2514,starch
2514,starch
2515,starch
2515,starch
2515,starch
2516,starch
2516,starch
2516,starch
2517,starch
2517,starch
2517,starch
2518,starch
2518,starch
2518,starch
2520,starch
2520,starch
2520,starch
2532,starch
2532,starch
2532,starch
2531,starch
2531,starch
2531,starch
2533,starch
2533,starch
2533,starch
2535,starch
2535,starch
2535,starch
2534,starch
2534,starch
2534,starch
2536,vegetal_products
2536,vegetal_products
2536,vegetal_products
2537,vegetal_products
2537,vegetal_products
2537,vegetal_products
2541,vegetal_products
2541,vegetal_products
2541,vegetal_products
2542,vegetal_products
2542,vegetal_products
2542,vegetal_products
2543,vegetal_products
2543,vegetal_products
2543,vegetal_products
2745,vegetal_products
2745,vegetal_products
2745,vegetal_products
2546,vegetal_products
2546,vegetal_products
2546,vegetal_products
2547,vegetal_products
2547,vegetal_products
2547,vegetal_products
2549,vegetal_products
2549,vegetal_products
2549,vegetal_products
2551,vegetal_products
2551,vegetal_products
2551,vegetal_products
2555,vegetal_products
2555,vegetal_products
2555,vegetal_products
2552,vegetal_products
2552,vegetal_products
2552,vegetal_products
2557,vegetal_products
2557,vegetal_products
2557,vegetal_products
2558,vegetal_products
2558,vegetal_products
2558,vegetal_products
2559,vegetal_products
2559,vegetal_products
2559,vegetal_products
2560,vegetal_products
2560,vegetal_products
2560,vegetal_products
2561,vegetal_products
2561,vegetal_products
2561,vegetal_products
2562,vegetal_products
2562,vegetal_products
2562,vegetal_products
2563,vegetal_products
2563,vegetal_products
2563,vegetal_products
2570,vegetal_products
2570,vegetal_products
2570,vegetal_products
2571,vegetal_products
2571,vegetal_products
2571,vegetal_products
2572,vegetal_products
2572,vegetal_products
2572,vegetal_products
2573,vegetal_products
2573,vegetal_products
2573,vegetal_products
2574,vegetal_products
2574,vegetal_products
2574,vegetal_products
2575,vegetal_products
2575,vegetal_products
2575,vegetal_products
2576,vegetal_products
2576,vegetal_products
2576,vegetal_products
2577,vegetal_products
2577,vegetal_products
2577,vegetal_products
2578,vegetal_products
2578,vegetal_products
2578,vegetal_products
2579,vegetal_products
2579,vegetal_products
2579,vegetal_products
2580,vegetal_products
2580,vegetal_products
2580,vegetal_products
2581,vegetal_products
2581,vegetal_products
2581,vegetal_products
2582,vegetal_products
2582,vegetal_products
2582,vegetal_products
2586,vegetal_products
2586,vegetal_products
2586,vegetal_products
2601,vegetal_products
2601,vegetal_products
2601,vegetal_products
2602,vegetal_products
2602,vegetal_products
2602,vegetal_products
2605,vegetal_products
2605,vegetal_products
2605,vegetal_products
2611,vegetal_products
2611,vegetal_products
2611,vegetal_products
2612,vegetal_products
2612,vegetal_products
2612,vegetal_products
2613,vegetal_products
2613,vegetal_products
2613,vegetal_products
2614,vegetal_products
2614,vegetal_products
2614,vegetal_products
2615,vegetal_products
2615,vegetal_products
2615,vegetal_products
2616,vegetal_products
2616,vegetal_products
2616,vegetal_products
2617,vegetal_products
2617,vegetal_products
2617,vegetal_products
2618,vegetal_products
2618,vegetal_products
2618,vegetal_products
2619,vegetal_products
2619,vegetal_products
2619,vegetal_products
2620,vegetal_products
2620,vegetal_products
2620,vegetal_products
2625,vegetal_products
2625,vegetal_products
2625,vegetal_products
2630,vegetal_products
2630,vegetal_products
2630,vegetal_products
2633,vegetal_products
2633,vegetal_products
2633,vegetal_products
2635,vegetal_products
2635,vegetal_products
2635,vegetal_products
2640,vegetal_products
2640,vegetal_products
2640,vegetal_products
2641,vegetal_products
2641,vegetal_products
2641,vegetal_products
2642,vegetal_products
2642,vegetal_products
2642,vegetal_products
2645,vegetal_products
2645,vegetal_products
2645,vegetal_products
2655,beverages
2655,beverages
2655,beverages
2656,beverages
2656,beverages
2656,beverages
2657,beverages
2657,beverages
2657,beverages
2658,beverages
2658,beverages
2658,beverages
2659,beverages
2659,beverages
2659,beverages
2731,meat
2731,meat
2731,meat
2732,meat
2732,meat
2732,meat
2733,meat
2733,meat
2733,meat
2734,meat
2734,meat
2734,meat
2735,meat
2735,meat
2735,meat
2736,meat
2736,meat
2736,meat
2740,meat
2740,meat
2740,meat
2743,meat
2743,meat
2743,meat
2737,meat
2737,meat
2737,meat
2781,meat
2781,meat
2781,meat
2782,meat
2782,meat
2782,meat
2744,meat
2744,meat
2744,meat
2848,meat
2848,meat
2848,meat
2761,meat
2761,meat
2761,meat
2762,meat
2762,meat
2762,meat
2763,meat
2763,meat
2763,meat
2764,meat
2764,meat
2764,meat
2765,meat
2765,meat
2765,meat
2766,meat
2766,meat
2766,meat
2767,meat
2767,meat
2767,meat
2769,meat
2769,meat
2769,meat
2768,meat
2768,meat
2768,meat
2775,vegetal_products
2775,vegetal_products
2775,vegetal_products